!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
નાનપુરા	ના@@ ન@@ પુરા
નાના	ના@@ ના
નાનાભાઈ	ના@@ ના@@ ભાઈ
નાની	નાન ⧺ી
નાનું	ના@@ નું
નાનો	નાન ⧺ો
નાનોસણા	ના@@ નો@@ સ@@ ણા
નાભિરાજ	ના@@ ભિ@@ રાજ
નામ	નામ
નામકરણ	નામ@@ કરણ
નામગ્યાલ	ના@@ મગ@@ ્યા@@ લ
નામચી	નામ@@ ચી
નામદેવ	નામ@@ દેવ
નામા	ના@@ મા
નામાંકન	ના@@ મા@@ ંક@@ ન
નામિકા	ના@@ મિ@@ કા
નામિબિયાનો	ના@@ મિ@@ બ@@ િયાનો
નામીબિયા	ના@@ મી@@ બ@@ િયા
નામો	નામ ⧺ો
નાયક	નાયક
નાયકા	નાય@@ કા
નાયડુ	નાય@@ ડુ
નાયપોલ	નાય@@ પો@@ લ
નાયબ	નાય@@ બ
નાયર	નાય@@ ર
નાયરા	નાય@@ રા
નાયોબિયમ	ના@@ યો@@ બ@@ િયમ
નારગોલ	નાર@@ ગો@@ લ
નારણભાઈ	ન@@ ારણ@@ ભાઈ
નારદ	નાર@@ દ
નારાયણ	નારાયણ
નારાયણપ્રસાદદાસજી	ના@@ રાય@@ ણ@@ પ્ર@@ સા@@ દ@@ દા@@ સ@@ જી
નારાયણી	નારાયણ ⧺ી
નારિયેળ	નાર@@ િયે@@ ળ
નારીચાણા	નાર@@ ી@@ ચા@@ ણા
નાલંદા	ના@@ લ@@ ંદ@@ ા
નાલગોંડા	ના@@ લ@@ ગો@@ ંડા
નાલા	ના@@ લા
નાળિયેરની	ના@@ ળ@@ િયે@@ ર@@ ની
નાશ	ના@@ શ
નાસા	ના@@ સા
નાસિક	ના@@ સિક
નાહરગઢ	ના@@ હર@@ ગઢ
નિંદામણનાશક	નિ@@ ંદા@@ મણ@@ ના@@ શ@@ ક
નિકલ	નિ@@ કલ
નિકારાગુઆનો	નિ@@ કા@@ રા@@ ગુ@@ આ@@ નો
નિકેતન	નિ@@ કે@@ તન
નિકોટિન	નિ@@ કો@@ ટિ@@ ન
નિકોબાર	નિ@@ કો@@ બા@@ ર
નિકોલ	નિ@@ કો@@ લ
નિખિલ	નિ@@ ખ@@ િ@@ લ
નિગમ	નિ@@ ગમ
નિચલી	નિ@@ ચ@@ લી
નિઝર	નિ@@ ઝ@@ ર
નિઝામાબાદ	નિ@@ ઝા@@ મા@@ બાદ
નિઝામુદ્દીન	નિ@@ ઝા@@ મુ@@ દ્દીન
નિતલી	નિ@@ ત@@ લી
નિતા	નિ@@ તા
નિત્યાનંદ	નિ@@ ત્યા@@ નંદ
નિધન	નિ@@ ધન
નિનાઈ	નિ@@ ના@@ ઈ
નિફાડ	નિ@@ ફા@@ ડ
નિમરત	નિ@@ મર@@ ત
નિમાડી	નિ@@ મા@@ ડી
નિયંત્રણ	ન@@ િય@@ ં@@ ત્ર@@ ણ
નિયમ	નિયમ
નિયોડીમીયમ	ન@@ િયો@@ ડી@@ મ@@ ીયમ
નિયોન	ન@@ િયો@@ ન
નિરંજન	નિ@@ રં@@ જન
નિરદ	નિ@@ ર@@ દ
નિરમા	નિ@@ ર@@ મા
નિરાલા	નિ@@ રા@@ લા
નિરુપા	નિ@@ રુ@@ પા
નિરોધ	નિ@@ રો@@ ધ
નિર્મલ	નિ@@ ર્મ@@ લ
નિર્મલા	નિ@@ ર્મ@@ લા
નિર્માતા	નિર્@@ માતા
નિર્માતાઓ	નિર્@@ મા@@ તાઓ
નિર્વાચન	નિર્@@ વા@@ ચન
નિર્વાચનક્ષેત્રો	નિર્@@ વા@@ ચ@@ ન@@ ક્ષે@@ ત્ર@@ ો
નિર્વાણ	નિર્@@ વા@@ ણ
નિલગીરી	નિ@@ લ@@ ગી@@ રી
નિલમ	નિ@@ લમ
નિવસન	નિ@@ વ@@ સન
નિવાસ	નિવાસ
નિવેદન	નિ@@ વે@@ દન
નિશા	નિ@@ શા
નિશાન-એ-પાકિસ્તાન	નિ@@ શા@@ ન@@ -@@ એ@@ -@@ પાકિસ્તાન
નિષ્કુળાનંદ	નિ@@ ષ્@@ કુ@@ ળા@@ નંદ
નિષ્પક્ષ	નિ@@ ષ્@@ પક્ષ
નિષ્પક્ષતા	નિ@@ ષ્@@ પ@@ ક્ષ@@ તા
નિસર્ગોપચાર	નિ@@ સર્@@ ગો@@ પ@@ ચાર
નિહારિકા	નિ@@ હાર@@ િકા
નીંગ	ની@@ ંગ
નીતિ	ની@@ તિ
નીતુ	ની@@ તુ
નીમચ	ની@@ મ@@ ચ
નીરજી	ની@@ ર@@ જી
નીલ	ની@@ લ
નીલકંઠ	નીલ@@ કં@@ ઠ
નીલગિરિ	નીલ@@ ગિરિ
નીલગિરી	નીલ@@ ગિ@@ રી
નીલ્સ	ની@@ લ્સ
નીશાણા	ની@@ શા@@ ણા
નુઆપડા	નુ@@ આ@@ પ@@ ડા
નુબ્રા	નુ@@ બ્ર@@ ા
નુર	નુ@@ ર
નુવાકોટ	નુ@@ વા@@ કોટ
નુસરત	નુ@@ સર@@ ત
નુહ	નુ@@ હ
નૂપુરક	ન@@ ૂ@@ પુર@@ ક
નૂયી	ન@@ ૂ@@ ય@@ ી
નૃત્ય	નૃત્ય
નૃવંશ	નૃ@@ વંશ
નૅપ્ચ્યુન	ન@@ ૅ@@ પ્@@ ચ@@ ્યુ@@ ન
નેચર	ને@@ ચર
નેચરલ	ને@@ ચ@@ ર@@ લ
નેટવર્ક	નેટવર્ક
નેટવર્કના	નેટવર્ક ⧺ના
નેતા	ને@@ તા
નેત્રંગ	ને@@ ત્ર@@ ંગ
નેત્રા	ને@@ ત્રા
નેધરલેંડ	ને@@ ધર@@ લેંડ
નેધરલેંડનો	ને@@ ધર@@ લે@@ ંડ@@ નો
નેનો	ને@@ નો
નેપાલ	નેપા@@ લ
નેપાળ	નેપાળ
નેપાળના	નેપાળ ⧺ના
નેપાળની	નેપા@@ ળ@@ ન ⧺ી
નેપાળનો	નેપા@@ ળ@@ ન ⧺ો
નેપાળી	નેપાળ ⧺ી
નેપોલિયન	ને@@ પો@@ લ@@ િયન
નેપ્ચ્યુનીયમ	ને@@ પ્@@ ચ@@ ્યુ@@ નીયમ
નેબ્રાસ્કા	ને@@ બ્રા@@ સ્@@ કા
નેમાડે	ને@@ મા@@ ડે
નેમિનાથ	ને@@ મિ@@ નાથ
નેરલ	ને@@ ર@@ લ
નેરુદા	ને@@ રુ@@ દા
નેલ્લોર	ને@@ લ્@@ લોર
નેલ્સન	ને@@ લ્@@ સન
નેવેલી	ને@@ વેલી
નેશનઝ	નેશન@@ ઝ
નેશનલ	નેશનલ
નેસ	ને@@ સ
નેહરુ	ને@@ હર@@ ુ
નેહવાલ	ને@@ હવા@@ લ
નેહા	ને@@ હા
નૈના	ન@@ ૈ@@ ના
નૈનિતાલ	ન@@ ૈ@@ નિ@@ તાલ
નૉર્વેજિયન	ન@@ ૉ@@ ર્@@ વે@@ જ@@ િયન
નો	નો
નોંધનીયતા	નો@@ ં@@ ધન@@ ીય@@ તા
નોઆમ	નો@@ આ@@ મ
નોઇડા	નો@@ ઇ@@ ડા
નોકરી	નો@@ કરી
નોકિયા	નો@@ ક@@ િયા
નોટ	નો@@ ટ
નોટિંગહામ	નો@@ ટિ@@ ંગ@@ હામ
નોબૅલ	નો@@ બ@@ ૅ@@ લ
નોબેલ	નો@@ બેલ
નોબેલીયમ	નો@@ બે@@ લ@@ ીયમ
નોમ	નો@@ મ
નોયસી	નો@@ ય@@ સી
નોર્ટન	નો@@ ર્@@ ટન
નોર્ધન	નો@@ ર્@@ ધન
નોર્મન	નો@@ ર્મ@@ ન
નોર્વે	નો@@ ર્@@ વે
નોવાક	નો@@ વા@@ ક
નૌકાસન	ન@@ ૌ@@ કા@@ સન
નૌરુ	ન@@ ૌ@@ રુ
નૌશાદ	ન@@ ૌ@@ શા@@ દ
ન્યાય	ન્યા@@ ય
ન્યાયશાસ્ત્ર	ન્યા@@ ય@@ શાસ્ત્ર
ન્યાયાલય	ન્યા@@ યા@@ લય
ન્યુ	ન્ય@@ ુ
ન્યુઝિલેન્ડનો	ન્યુ@@ ઝિ@@ લેન્ડ@@ નો
ન્યુઝીલેન્ડ	ન્યુ@@ ઝી@@ લેન્ડ
ન્યુટ્રાસ્યુટીકલ	ન્યુ@@ ટ્રા@@ સ્@@ યુ@@ ટી@@ કલ
ન્યુટ્રોન	ન્યુ@@ ટ્રો@@ ન
ન્યૂ	ન્ય@@ ૂ
ન્યૂકેસલ	ન્ય@@ ૂ@@ કે@@ સ@@ લ
ન્યૂઝીલેન્ડ	ન્ય@@ ૂ@@ ઝી@@ લેન્ડ
ન્યૂટન	ન્ય@@ ૂ@@ ટન
ન્હાનાલાલ	ન્@@ હા@@ ના@@ લાલ
પં.	પં@@ .
પંકજ	પં@@ ક@@ જ
પંગારો	પ@@ ંગ@@ ારો
પંચ	પં@@ ચ
પંચકુલા	પંચ@@ કુ@@ લા
પંચકેદાર	પંચ@@ કે@@ દાર
પંચકોણ	પંચ@@ કોણ
પંચગવ્ય	પંચ@@ ગ@@ વ@@ ્ય
પંચતંત્ર	પંચ@@ તંત્ર
પંચમઢી	પંચ@@ મ@@ ઢ@@ ી
પંચમહાલ	પંચ@@ મહા@@ લ
પંચશીલના	પંચ@@ શી@@ લ@@ ના
પંચાંગ	પંચ@@ ાંગ
પંચામૃત	પંચા@@ મૃ@@ ત
પંચાયત	પંચા@@ ય@@ ત
પંચાયતી	પંચા@@ ય@@ ત ⧺ી
પંચાલ	પંચા@@ લ
પંચાસર	પંચા@@ સર
પંચોળી	પં@@ ચો@@ ળી
પંજાબ	પંજાબ
પંજાબ,	પંજા@@ બ@@ ,
પંજાબી	પંજાબ ⧺ી
પંડિત	પંડિત
પંડ્યા	પંડ@@ ્યા
પંત	પં@@ ત
પંપ	પં@@ પ
પંપા	પં@@ પા
પકવાસા	પ@@ ક@@ વા@@ સા
પકોડી	પ@@ કો@@ ડી
પક્ષ	પક્ષ
પક્ષી	પક્ષ ⧺ી
પક્ષીઓ	પ@@ ક્ષ@@ ીઓ
પક્ષીઓની	પ@@ ક્ષ@@ ી@@ ઓની
પગ	પ@@ ગ
પગી	પ@@ ગી
પગુથણ	પ@@ ગુ@@ થ@@ ણ
પચરંગી	પ@@ ચ@@ રંગ@@ ી
પચ્ચીસી	પ@@ ચ્@@ ચી@@ સી
પટ	પ@@ ટ
પટણા	પટ@@ ણા
પટના	પટ@@ ના
પટનાયક	પટ@@ નાયક
પટિયાલા	પટ@@ િયા@@ લા
પટેલ	પટેલ
પટોળા	પ@@ ટો@@ ળા
પટ્ટાઇ	પટ્@@ ટા@@ ઇ
પટ્ટાઈ	પટ્@@ ટા@@ ઈ
પટ્ટી	પટ્@@ ટી
પટ્ટીત	પટ્@@ ટી@@ ત
પઠાણકોટ	પ@@ ઠા@@ ણ@@ કોટ
પડધરી	પ@@ ડ@@ ધરી
પડવો	પ@@ ડ@@ વો
પડાલીયો	પ@@ ડા@@ લ@@ ીયો
પઢિયાર	પ@@ ઢ@@ િયા@@ ર
પણજી	પ@@ ણ@@ જી
પતેતી	પ@@ તે@@ તી
પત્તા	પ@@ ત્@@ તા
પત્તાદકલ	પ@@ ત્તા@@ દ@@ કલ
પત્યું	પ@@ ત્ય@@ ું
પત્રકાર	પ@@ ત્ર@@ કાર
પત્રકારત્વ	પ@@ ત્ર@@ કાર@@ ત્વ
પત્રિકા	પ@@ ત્રિ@@ કા
પદક	પ@@ દ@@ ક
પદમશી	પ@@ દ@@ મ@@ શી
પદરૌના	પ@@ દર@@ ૌ@@ ના
પદાર્થની	પ@@ દા@@ ર્@@ થ@@ ની
પદુકોણ	પ@@ દુ@@ કોણ
પદૌક	પ@@ દ@@ ૌ@@ ક
પદ્ધતિ	પદ્@@ ધ@@ તિ
પદ્મનાભસ્વામી	પદ્મ@@ ના@@ ભ@@ સ્વામી
પદ્મપાણી	પદ્મ@@ પા@@ ણી
પદ્મપ્રભ	પદ્મ@@ પ્ર@@ ભ
પદ્મભૂષણ	પદ્મ@@ ભૂ@@ ષણ
પદ્મવિભૂષણ	પદ્મ@@ વિ@@ ભૂ@@ ષણ
પદ્મશ્રી	પદ્મ@@ શ્રી
પદ્મારાણી	પદ્@@ મા@@ રા@@ ણી
પદ્માવત	પદ્@@ મા@@ વત
પનામા	પ@@ ના@@ મા
પનિયિમ્પલી	પ@@ ન@@ િય@@ િ@@ મ્પ@@ લી
પનીર	પ@@ ની@@ ર
પન્ના	પ@@ ન્ના
પન્નાલાલ	પ@@ ન્@@ ના@@ લાલ
પપુમપારે	પ@@ પુ@@ મ@@ પાર@@ ે
પપૈયાં	પ@@ પ@@ ૈ@@ યા@@ ં
પબ્લિક	પ@@ બ્@@ લિ@@ ક
પમોલ	પ@@ મો@@ લ
પયગંબર	પ@@ ય@@ ગં@@ બર
પર	પર
પરંપરાગત	પર@@ ં@@ પરા@@ ગ@@ ત
પરગણા	પર@@ ગ@@ ણા
પરગ્રહવાસી	પર@@ ગ્ર@@ હવા@@ સી
પરનો	પર@@ નો
પરમ	પર@@ મ
પરમવીર	પર@@ મ@@ વીર
પરમહંસ	પર@@ મહ@@ ં@@ સ
પરમાણુ	પર@@ મા@@ ણુ
પરમાર	પર@@ માર
પરમાર્થ	પર@@ માર્@@ થ
પરમેશ્વરન	પર@@ મે@@ શ્વ@@ ર@@ ન
પરવળ	પર@@ વળ
પરવીન	પર@@ વી@@ ન
પરશુરામ	પર@@ શુ@@ રામ
પરસ્પરોપગ્રહો	પર@@ સ્@@ પ@@ રો@@ પ@@ ગ્ર@@ હો
પરાં	પરા@@ ં
પરાળી	પરા@@ ળી
પરાવર્તિત	પરા@@ વર્@@ તિ@@ ત
પરાવાસ્તવવાદ	પરા@@ વા@@ સ્@@ ત@@ વ@@ વાદ
પરાશર	પરા@@ શ@@ ર
પરિક્રમા	પરિ@@ ક્ર@@ મા
પરિક્ષિત	પરિ@@ ક્ષિ@@ ત
પરિઘ	પરિ@@ ઘ
પરિયોજના	પર@@ િયો@@ જના
પરિયોજના:	પર@@ િયો@@ જ@@ ના@@ :
પરિવહન	પરિ@@ વ@@ હન
પરિવાર	પરિ@@ વાર
પરિષદ	પરિ@@ ષ@@ દ
પરિષદની	પરિ@@ ષ@@ દ@@ ની
પરિસર,	પરિ@@ સ@@ ર,
પરિસ્થિતિ-જળ	પરિ@@ સ્થ@@ િ@@ તિ@@ -@@ જળ
પરીક્ષણ	પરી@@ ક્ષ@@ ણ
પરીખ	પરી@@ ખ
પરીચારિકા	પરી@@ ચાર@@ િકા
પરેજીયુક્ત	પ@@ રે@@ જ@@ ીય@@ ુ@@ ક્ત
પરેશ	પ@@ રે@@ શ
પરોઠા	પ@@ રો@@ ઠા
પર્ટો	પર્@@ ટો
પર્થ	પર્@@ થ
પર્યટન	પર્@@ ય@@ ટન
પર્યાયોક્તિ	પર્@@ યા@@ યો@@ ક્તિ
પર્યાવરણ	પર્@@ યા@@ વર@@ ણ
પર્યાવરણીય	પર્@@ યા@@ વર@@ ણ@@ ીય
પર્યુષણ	પર્@@ યુ@@ ષણ
પર્લ	પર્@@ લ
પર્વત	પર્વત
પર્વતમાળા	પર્@@ વતમા@@ ળા
પર્વતીય	પર્@@ વત@@ ીય
પર્વતો	પર્વત ⧺ો
પર્સનલ	પર્@@ સન@@ લ
પર્સીસ	પર્@@ સી@@ સ
પલક્કડ	પ@@ લક્@@ ક@@ ડ
પલવલ	પ@@ લ@@ વલ
પલસદરી	પ@@ લ@@ સ@@ દ@@ રી
પલાંસવા	પ@@ લા@@ ં@@ સ@@ વા
પલાઉ	પ@@ લા@@ ઉ
પલાની	પ@@ લા@@ ની
પલામૂ	પ@@ લા@@ મ@@ ૂ
પલેડિયમ	પ@@ લે@@ ડ@@ િયમ
પલ્લીનો	પ@@ લ્@@ લી@@ નો
પલ્‍પ	પ@@ લ્@@ ‍@@ પ
પવઇ	પ@@ વ@@ ઇ
પવન	પ@@ વન
પવનકુમાર	પ@@ વન@@ કુમાર
પવનચક્કી	પ@@ વન@@ ચક્@@ કી
પશુપાલન	પ@@ શુ@@ પા@@ લન
પશ્ચિમ	પશ્ચિમ
પશ્ચિમી	પશ્ચિમ ⧺ી
પશ્તૂન	પશ્@@ ત@@ ૂ@@ ન
પશ્તો	પશ્@@ તો
પસાર	પ@@ સાર
પહલગામ	પ@@ હ@@ લ@@ ગામ
પહાડી	પ@@ હા@@ ડી
પહાડીઓ	પ@@ હા@@ ડ@@ ીઓ
પહેલા	પ@@ હે@@ લા
પહેલેથી	પ@@ હે@@ લે@@ થી
પાંગોંગ	પા@@ ંગો@@ ંગ
પાંચ	પા@@ ં@@ ચ
પાંચપીપળા	પા@@ ં@@ ચ@@ પી@@ પ@@ ળા
પાંચમ	પા@@ ં@@ ચ@@ મ
પાંઝરા	પા@@ ં@@ ઝ@@ રા
પાંડરવાડા	પાંડ@@ ર@@ વાડા
પાંડવ	પાંડ@@ વ
પાંડા	પા@@ ંડા
પાંડુ	પાંડ@@ ુ
પાંડુરંગ	પાંડ@@ ુ@@ રંગ
પાંડે	પાંડ@@ ે
પાંતિયા	પા@@ ંત@@ િયા
પાંદેરી	પા@@ ંદે@@ રી
પાઇ	પા@@ ઇ
પાઇપ	પા@@ ઇ@@ પ
પાઈકા	પા@@ ઈ@@ કા
પાઉન્ડ	પા@@ ઉ@@ ન્ડ
પાઉલી	પા@@ ઉ@@ લી
પાઉલીનો	પા@@ ઉ@@ લી@@ નો
પાક	પા@@ ક
પાકિસ્તાન	પાકિસ્તાન
પાકિસ્તાનમાં	પા@@ કિ@@ સ્તા@@ ન@@ માં
પાકુડ	પા@@ કુ@@ ડ
પાક્કિમ	પા@@ ક્@@ કિમ
પાઘડી	પા@@ ઘ@@ ડી
પાચન	પા@@ ચન
પાટડી	પાટ@@ ડી
પાટણ	પાટ@@ ણ
પાટણવાવ	પાટ@@ ણ@@ વાવ
પાટલીપુત્ર	પાટ@@ લી@@ પુ@@ ત્ર
પાટિલ	પા@@ ટિ@@ લ
પાટીદાર	પા@@ ટી@@ દાર
પાટીલ	પા@@ ટી@@ લ
પાઠક	પાઠક
પાણી	પા@@ ણી
પાણીનું	પા@@ ણી@@ નું
પાણીપતની	પા@@ ણી@@ પ@@ ત@@ ની
પાણીપૂરી	પા@@ ણી@@ પૂર ⧺ી
પાતગઢ	પા@@ ત@@ ગઢ
પાતાલ	પા@@ તાલ
પાતાળ	પા@@ તા@@ ળ
પાતાળપાણી	પા@@ તા@@ ળ@@ પા@@ ણી
પાત્ર	પા@@ ત્ર
પાત્રા	પા@@ ત્રા
પાત્રો	પા@@ ત્ર ⧺ો
પાથ	પા@@ થ
પાદરા	પા@@ દરા
પાદરી	પા@@ દ@@ રી
પાન	પા@@ ન
પાનધ્રો	પા@@ ન@@ ધ્ર@@ ો
પાનશેત	પા@@ ન@@ શે@@ ત
પાના	પા@@ ના
પાનાં	પા@@ નાં
પાનીપત	પા@@ ની@@ પત
પાનું	પા@@ નું
પાનેલી	પા@@ ને@@ લી
પાન્ડુ	પા@@ ન્ડ@@ ુ
પાપ	પા@@ પ
પાપડ	પા@@ પ@@ ડ
પાપલેટ	પા@@ પ@@ લે@@ ટ
પાબુમઠ	પા@@ બુ@@ મઠ
પાબ્લો	પા@@ બ્@@ લો
પામેલા	પા@@ મે@@ લા
પાયથાગોરસ	પા@@ ય@@ થા@@ ગો@@ રસ
પાયથોન	પા@@ ય@@ થો@@ ન
પાયદળ	પા@@ ય@@ દ@@ ળ
પાયલોટ	પા@@ ય@@ લો@@ ટ
પાયાના	પા@@ યા@@ ના
પાર	પાર
પારડી	પાર@@ ડી
પારનેરા	પાર@@ ને@@ રા
પારલે-જી	પાર@@ લે@@ -@@ જી
પારસી	પાર@@ સી
પારામારિબો	પા@@ રામા@@ રિ@@ બો
પારિજાત	પાર@@ િ@@ જા@@ ત
પારિતોષિક	પાર@@ િ@@ તો@@ ષ@@ િક
